Geral	Táxon	Nome Comum	Categoria
43	Harpia harpyja (Linnaeus, 1758)	Gavião-real	CR
44	Morphnus guianensis (Daudin, 1800)	Uiraçu-falso	CR
45	Spizaetus ornatus (Daudin, 1800)	Gavião-de-penacho	EN
46	Urubitinga coronata (Vieillot, 1817)	Águia-cinzenta	CR
47	Mergus octosetaceus Vieillot, 1817	Pato-mergulhão	CR
48	Augastes lumachella (Lesson, 1838)	Beija-flor-de-gravata-vermelha	EN
49	Colibri delphinae (Lesson, 1839)	Beija-flor-marrom	CR
50	Glaucis dohrnii (Bourcier & Mulsant, 1852)	Balança-rabo-canela	CR
51	Phaethornis margarettae Ruschi, 1972	Rabo-branco-de-margarette	EN
52	Nyctibius leucopterus (Wied, 1821)	Urutau-de-asa-branca	EN
53	Charadrius wilsonia Ord, 1814	Batuíra-bicuda	EN
54	Haematopus palliatus Temminck, 1820	Piru-piru	VU
55	Geotrygon violacea (Temminck, 1809)	Juriti-vermelha	EN
56	Patagioenas plumbea (Vieillot, 1818)	Pomba-amargosa	VU
57	Micrastur mintoni Whittaker, 2002	Falcão-críptico	RE
58	Jacamaralcyon tridactyla (Vieillot, 1817)	Cuitelão	CR
59	Penelope jacucaca Spix, 1825	Jacucaca	VU
60	Odontophorus capueira (Spix, 1825)	Uru	EN
61	Aburria jacutinga (Spix, 1825)	Jacutinga	RE
62	Crax blumenbachii Spix, 1825	Mutum-de-bico-vermelho	CR
63	Cotinga maculata (Statius Muller, 1776)	Crejoá	VU
64	Lipaugus lanioides (Lesson, 1844)	Tropeiro-da-serra	EN
65	Lipaugus vociferans (Wied, 1820)	Capitão-do-mato	VU
66	Phibalura flavirostris Vieillot, 1816	Tesourinha-da-mata	EN
67	Procnias nudicollis (Vieillot, 1817)	Araponga	VU
68	Pyroderus scutatus (Shaw, 1792)	Pavão-do-mato	EN
69	Lepidocolaptes wagleri (Spix, 1824)	Arapaçu-de-wagler	EN
70	Formicivora grantsaui Gonzaga, Carvalhaes & Buzzetti, 2007	Papa-formiga-do-sincorá	EN
71	Chamaeza meruloides Vigors, 1825	Tovaca-cantadora	VU
72	Sporagra yarrellii (Audubon, 1839)	Pintassilgo-do-nordeste	VU
73	Acrobatornis fonsecai Pacheco, Whitney & Gonzaga, 1996	Acrobata	VU
74	Merulaxis stresemanni Sick, 1960	Entufado-baiano	CR
75	Platyrinchus leucoryphus Wied, 1831	Patinho-gigante	EN
76	Myiothlypis rivularis (Wied, 1821)	Pula-pula-ribeirinho	VU
77	Neopelma aurifrons (Wied, 1831)	Fruxu-baiano	CR
78	Scytalopus diamantinensis Bornschein, Maurício, Belmonte-Lopes, Mata & Bonato, 2007	Tapaculo-da-chapada-diamantina	EN
79	Scytalopus speluncae (Ménétriès, 1835)	Tapaculo-preto	CR
80	Hemitriccus furcatus (Lafresnaye, 1846)	Papa-moscas-estrela	EN
81	Phylloscartes beckeri Gonzaga & Pacheco, 1995	Borboletinha-baiana	EN
82	Phylloscartes roquettei Snethlage, 1928	Cara-dourada	EN
83	Geositta poeciloptera (Wied, 1830)	Andarilho	EN
84	Sclerurus caudacutus (Vieillot, 1816)	Vira-folha-pardo	EN
85	Sclerurus cearensis Snethlage, 1924	Papa-formigas	EN
86	Sclerurus macconnelli Chubb, 1919	Vira-folha-de-peito-vermelho	EN
87	Cercomacra brasiliana Hellmayr, 1905	Chororó-cinzento	EN
88	Mackenziaena severa (Lichtenstein, 1823)	Borralhara	VU
89	Myrmoderus ruficaudus (Wied, 1831)	Formigueiro-de-cauda-ruiva	EN
90	Myrmotherula minor Salvadori, 1864	Choquinha-pequena	EN
91	Pyriglena atra (Swainson, 1825)	Olho-de-fogo-rendado	EN
92	Rhopias gularis (Spix, 1825)	Choquinha-da-garganta-pintada	EN
93	Rhopornis ardesiacus (Wied, 1831)	Gravatazeiro	EN
94	Sporophila falcirostris (Temminck, 1820)	Cigarra-verdadeira	EN
95	Sporophila frontalis (Verreaux, 1869)	Pixoxó	EN
96	Sporophila maximiliani (Cabanis, 1851)	Bicudo-verdadeiro	CR
97	Iodopleura pipra (Lesson, 1831)	Anambezinho	VU
98	Laniisoma elegans (Thunberg, 1823)	Chibante	EN
99	Laniocera hypopyrra (Vieillot, 1817)	Chorona-cinza	VU
100	Cichlopsis leucogenys Cabanis, 1851	Sabiá-castanho	EN
101	Culicivora caudacuta (Vieillot, 1818)	Papa-moscas-do-campo	VU
102	Euscarthmus rufomarginatus (Pelzeln, 1868)	Maria-corruíra	VU
103	Phyllomyias griseocapilla Sclater, 1862	Piolhinho-serrano	EN
104	Polystictus superciliaris (Wied, 1831)	Papa-moscas-de-costas-cinzentas	VU
105	Thripophaga macroura (Wied, 1821)	Rabo-amarelo	VU
106	Eleoscytalopus psychopompus (Teixeira & Carnevalli, 1989)	Macuquinho-baiano	EN
107	Eleoscytalopus indigoticus (Wied, 1831)	Macuquinho	CR
108	Merulaxis ater Lesson, 1830	Entufado-baiano	RE
109	Dysithamnus plumbeus (Wied, 1831)	Choquinha-chumbo	EN
110	Phaethon aethereus Linnaeus, 1758	Rabo-de-palha-de-bico-vermelho	VU
111	Phaethon lepturus Daudin, 1802	Rabo-de-palha-de-bico-laranja	CR
112	Pteroglossus bailloni (Vieillot, 1819)	Araçari-banana	VU
113	Campephilus robustus (Lichtenstein, 1818)	Pica-pau-rei	VU
114	Phoebetria fusca (Hilsenberg, 1822)	Piau-preto	VU
115	Thalassarche chlororhynchos (Gmelin, 1789)	Albatroz-de-nariz-amarelo	VU
116	Thalassarche melanophris (Temminck, 1828)	Albatroz-de-sobrancelha	VU
117	Pterodroma incerta (Schlegel, 1863)	Grazina-de-barriga-branca	VU
118	Amazona farinosa (Boddaert, 1783)	Papagaio-moleiro	VU
119	Amazona rhodocorytha (Salvadori, 1890)	Chauá	EN
120	Amazona vinacea (Kuhl, 1820)	Papagaio-de-peito-roxo	CR
121	Anodorhynchus hyacinthinus (Latham, 1790)	Arara-azul-grande	EN
122	Anodorhynchus leari Bonaparte, 1856	Arara-azul-de-lear	EN
123	Ara chloropterus Gray, 1859	Arara-vermelha-grande	EN
124	Cyanopsitta spixii (Wagler, 1832)	Ararinha-azul	CR-PEW
125	Pionus reichenowi Heine, 1844	Maitaca-de-barriga-azul	VU
126	Pyrrhura cruentata (Wied, 1820)	Tiriba-de-testa-vermelha	VU
127	Pyrrhura leucotis (Kuhl, 1820)	Tiriba-de-orelha-branca	EN
128	Touit melanonotus (Wied, 1820)	Papagainho	CR
129	Celeus flavus (Statius Muller, 1776)	Pica-pau-amarelo	EN
130	Crypturellus noctivagus (Wied, 1820)	Jaó-do-sul	VU
131	Tinamus solitarius (Vieillot, 1819)	Macuco	EN
132	Trogon collaris Vieillot, 1817	Surucuá-de-coleira	RE